"var","year","RL10","RL25","RL50","RL100"
"X1",1970,880.831433966304,1109.33509217205,1309.58060858948,1536.97098481195
"X1",1990,949.084825400387,1177.58848360613,1377.83400002356,1605.22437624603
"X1",2012,1024.16822766791,1252.67188587366,1452.91740229109,1680.30777851356
"X2",1970,504.497791888659,622.679532418932,723.23077353817,834.525643799749
"X2",1990,532.42988177229,650.611622302563,751.162863421802,862.45773368338
"X2",2012,563.157092491642,681.338833021915,781.890074141153,893.184944402732
"X3",1970,1598.73167801522,1977.909576962,2294.18391476582,2638.29049338136
"X3",1990,1767.91262394466,2147.09052289144,2463.36486069525,2807.47143931079
"X3",2012,1954.02324427168,2333.20114321846,2649.47548102228,2993.58205963782
"X4",1970,317.757709648198,375.769927693799,420.320535226766,465.45315669299
"X4",1990,346.515372520925,404.527590566526,449.078198099493,494.210819565717
"X4",2012,378.150770035672,436.162988081273,480.71359561424,525.846217080465
"B1",1970,432.479372058882,499.626848237983,551.172240716996,603.372997387502
"B1",1990,474.883235162054,542.030711341155,593.576103820168,645.776860490674
"B1",2012,521.530386961794,588.677863140894,640.223255619907,692.424012290413
