Station,Longitude,Latitude,Year,MaxDate,MaxFlow
ADAMS,-119.64715,50.97401,1945,1945-06-04,174.376022339
ADAMS,-119.64715,50.97401,1946,1946-06-01,252.23008728
ADAMS,-119.64715,50.97401,1947,1947-06-03,227.27923584
ADAMS,-119.64715,50.97401,1948,1948-06-11,315.830322266
ADAMS,-119.64715,50.97401,1949,1949-05-22,246.609619141
ADAMS,-119.64715,50.97401,1950,1950-06-23,299.587921143
ADAMS,-119.64715,50.97401,1951,1951-05-16,231.071762085
ADAMS,-119.64715,50.97401,1952,1952-05-23,198.815155029
ADAMS,-119.64715,50.97401,1953,1953-06-02,194.081359863
ADAMS,-119.64715,50.97401,1954,1954-07-12,210.684234619
ADAMS,-119.64715,50.97401,1955,1955-06-17,215.857711792
ADAMS,-119.64715,50.97401,1956,1956-05-26,291.782073975
ADAMS,-119.64715,50.97401,1957,1957-06-09,241.059143066
ADAMS,-119.64715,50.97401,1958,1958-05-31,322.410247803
ADAMS,-119.64715,50.97401,1959,1959-07-22,226.463409424
ADAMS,-119.64715,50.97401,1960,1960-07-18,195.394210815
ADAMS,-119.64715,50.97401,1961,1961-06-09,262.581848145
ADAMS,-119.64715,50.97401,1962,1962-06-24,216.876525879
ADAMS,-119.64715,50.97401,1963,1963-06-02,231.375045776
ADAMS,-119.64715,50.97401,1964,1964-07-19,250.883758545
ADAMS,-119.64715,50.97401,1965,1965-06-15,238.800643921
ADAMS,-119.64715,50.97401,1966,1966-07-11,195.245956421
ADAMS,-119.64715,50.97401,1967,1967-06-29,286.058319092
ADAMS,-119.64715,50.97401,1968,1968-07-14,283.550750732
ADAMS,-119.64715,50.97401,1969,1969-06-16,270.56918335
ADAMS,-119.64715,50.97401,1970,1970-06-10,199.785614014
ADAMS,-119.64715,50.97401,1971,1971-06-09,222.244720459
ADAMS,-119.64715,50.97401,1972,1972-06-13,338.165008545
ADAMS,-119.64715,50.97401,1973,1973-06-30,201.445907593
ADAMS,-119.64715,50.97401,1974,1974-06-24,333.144927979
ADAMS,-119.64715,50.97401,1975,1975-07-14,279.415435791
ADAMS,-119.64715,50.97401,1976,1976-07-13,194.74130249
ADAMS,-119.64715,50.97401,1977,1977-06-14,145.452346802
ADAMS,-119.64715,50.97401,1978,1978-06-12,262.459228516
ADAMS,-119.64715,50.97401,1979,1979-07-04,173.266647339
ADAMS,-119.64715,50.97401,1980,1980-05-26,163.119567871
ADAMS,-119.64715,50.97401,1981,1981-07-10,211.008728027
ADAMS,-119.64715,50.97401,1982,1982-06-24,290.165039062
ADAMS,-119.64715,50.97401,1983,1983-06-05,286.153411865
ADAMS,-119.64715,50.97401,1984,1984-07-04,240.897781372
ADAMS,-119.64715,50.97401,1985,1985-05-27,232.625411987
ADAMS,-119.64715,50.97401,1986,1986-06-06,275.977966309
ADAMS,-119.64715,50.97401,1987,1987-06-18,210.720123291
ADAMS,-119.64715,50.97401,1988,1988-06-30,193.515014648
ADAMS,-119.64715,50.97401,1989,1989-06-18,211.561569214
ADAMS,-119.64715,50.97401,1990,1990-06-29,211.416290283
ADAMS,-119.64715,50.97401,1991,1991-07-08,206.370803833
ADAMS,-119.64715,50.97401,1992,1992-06-30,202.67906189
ADAMS,-119.64715,50.97401,1993,1993-05-21,240.394836426
ADAMS,-119.64715,50.97401,1994,1994-07-07,187.03163147
ADAMS,-119.64715,50.97401,1995,1995-06-07,287.007354736
ADAMS,-119.64715,50.97401,1996,1996-07-20,270.103973389
ADAMS,-119.64715,50.97401,1997,1997-07-15,340.523223877
ADAMS,-119.64715,50.97401,1998,1998-05-12,213.686172485
ADAMS,-119.64715,50.97401,1999,1999-07-15,288.591003418
ADAMS,-119.64715,50.97401,2000,2000-07-28,239.051193237
ADAMS,-119.64715,50.97401,2001,2001-06-05,193.556625366
ADAMS,-119.64715,50.97401,2002,2002-07-02,303.343109131
ADAMS,-119.64715,50.97401,2003,2003-06-13,207.61656189
ADAMS,-119.64715,50.97401,2004,2004-06-29,218.374481201
ADAMS,-119.64715,50.97401,2005,2005-06-05,229.106536865
ADAMS,-119.64715,50.97401,2006,2006-05-27,208.688293457
ADAMS,-119.64715,50.97401,2007,2007-06-09,288.208374023
