Station,Longitude,Latitude,Year,MaxDate,MaxFlow
ADAMS,-119.64715,50.97401,1945,1945-01-12,154.895629883
ADAMS,-119.64715,50.97401,1946,1946-07-14,283.892578125
ADAMS,-119.64715,50.97401,1947,1947-06-13,232.843566895
ADAMS,-119.64715,50.97401,1948,1948-05-31,227.853286743
ADAMS,-119.64715,50.97401,1949,1949-06-04,230.606765747
ADAMS,-119.64715,50.97401,1950,1950-07-05,239.433013916
ADAMS,-119.64715,50.97401,1951,1951-06-18,284.215789795
ADAMS,-119.64715,50.97401,1952,1952-05-27,253.895278931
ADAMS,-119.64715,50.97401,1953,1953-06-12,335.993652344
ADAMS,-119.64715,50.97401,1954,1954-06-04,271.624359131
ADAMS,-119.64715,50.97401,1955,1955-06-09,259.016418457
ADAMS,-119.64715,50.97401,1956,1956-06-06,258.930450439
ADAMS,-119.64715,50.97401,1957,1957-06-16,250.301193237
ADAMS,-119.64715,50.97401,1958,1958-06-15,327.143951416
ADAMS,-119.64715,50.97401,1959,1959-05-31,298.599456787
ADAMS,-119.64715,50.97401,1960,1960-07-03,257.4581604
ADAMS,-119.64715,50.97401,1961,1961-07-16,320.547973633
ADAMS,-119.64715,50.97401,1962,1962-05-31,189.765289307
ADAMS,-119.64715,50.97401,1963,1963-07-26,215.15953064
ADAMS,-119.64715,50.97401,1964,1964-05-24,225.296585083
ADAMS,-119.64715,50.97401,1965,1965-05-27,255.844192505
ADAMS,-119.64715,50.97401,1966,1966-06-10,193.751235962
ADAMS,-119.64715,50.97401,1967,1967-06-19,230.656265259
ADAMS,-119.64715,50.97401,1968,1968-07-13,212.613967896
ADAMS,-119.64715,50.97401,1969,1969-07-21,218.180236816
ADAMS,-119.64715,50.97401,1970,1970-06-08,249.975036621
ADAMS,-119.64715,50.97401,1971,1971-07-17,223.713653564
ADAMS,-119.64715,50.97401,1972,1972-07-20,245.472442627
ADAMS,-119.64715,50.97401,1973,1973-07-21,225.361816406
ADAMS,-119.64715,50.97401,1974,1974-06-20,221.206436157
ADAMS,-119.64715,50.97401,1975,1975-06-12,235.423294067
ADAMS,-119.64715,50.97401,1976,1976-05-29,280.71585083
ADAMS,-119.64715,50.97401,1977,1977-06-24,219.61555481
ADAMS,-119.64715,50.97401,1978,1978-07-19,230.07208252
ADAMS,-119.64715,50.97401,1979,1979-06-27,277.37020874
ADAMS,-119.64715,50.97401,1980,1980-07-14,217.850524902
ADAMS,-119.64715,50.97401,1981,1981-06-23,321.89654541
ADAMS,-119.64715,50.97401,1982,1982-05-25,173.00769043
ADAMS,-119.64715,50.97401,1983,1983-06-18,238.690979004
ADAMS,-119.64715,50.97401,1984,1984-06-19,305.382110596
ADAMS,-119.64715,50.97401,1985,1985-06-12,296.638671875
ADAMS,-119.64715,50.97401,1986,1986-05-25,230.727355957
ADAMS,-119.64715,50.97401,1987,1987-06-15,228.239517212
ADAMS,-119.64715,50.97401,1988,1988-06-16,265.03237915
ADAMS,-119.64715,50.97401,1989,1989-06-26,223.200149536
ADAMS,-119.64715,50.97401,1990,1990-06-18,218.328948975
ADAMS,-119.64715,50.97401,1991,1991-05-29,243.671173096
ADAMS,-119.64715,50.97401,1992,1992-07-10,286.316772461
ADAMS,-119.64715,50.97401,1993,1993-06-27,277.653778076
ADAMS,-119.64715,50.97401,1994,1994-07-13,297.838653564
ADAMS,-119.64715,50.97401,1995,1995-06-14,261.388092041
ADAMS,-119.64715,50.97401,1996,1996-05-29,272.265228271
ADAMS,-119.64715,50.97401,1997,1997-07-03,231.448028564
ADAMS,-119.64715,50.97401,1998,1998-06-27,266.833984375
ADAMS,-119.64715,50.97401,1999,1999-06-17,250.650268555
ADAMS,-119.64715,50.97401,2000,2000-06-27,300.088867188
ADAMS,-119.64715,50.97401,2001,2001-05-19,215.083023071
ADAMS,-119.64715,50.97401,2002,2002-06-03,260.014831543
ADAMS,-119.64715,50.97401,2003,2003-06-15,225.794616699
ADAMS,-119.64715,50.97401,2004,2004-05-30,254.803817749
ADAMS,-119.64715,50.97401,2005,2005-06-04,245.841171265
ADAMS,-119.64715,50.97401,2006,2006-06-23,236.567703247
ADAMS,-119.64715,50.97401,2007,2007-05-25,233.861297607
ADAMS,-119.64715,50.97401,2008,2008-07-09,314.395568848
ADAMS,-119.64715,50.97401,2009,2009-06-14,297.036804199
ADAMS,-119.64715,50.97401,2010,2010-05-28,246.024261475
ADAMS,-119.64715,50.97401,2011,2011-06-11,235.626983643
ADAMS,-119.64715,50.97401,2012,2012-07-05,267.790435791
ADAMS,-119.64715,50.97401,2013,2013-06-17,276.650360107
ADAMS,-119.64715,50.97401,2014,2014-06-18,369.133666992
ADAMS,-119.64715,50.97401,2015,2015-06-15,207.71206665
ADAMS,-119.64715,50.97401,2016,2016-06-01,254.736724854
ADAMS,-119.64715,50.97401,2017,2017-06-17,283.02130127
ADAMS,-119.64715,50.97401,2018,2018-06-17,269.638885498
ADAMS,-119.64715,50.97401,2019,2019-07-15,241.664764404
ADAMS,-119.64715,50.97401,2020,2020-05-31,271.244598389
ADAMS,-119.64715,50.97401,2021,2021-06-22,280.082122803
ADAMS,-119.64715,50.97401,2022,2022-05-25,211.153320312
ADAMS,-119.64715,50.97401,2023,2023-06-01,216.136657715
ADAMS,-119.64715,50.97401,2024,2024-07-06,288.038299561
ADAMS,-119.64715,50.97401,2025,2025-06-18,322.344482422
ADAMS,-119.64715,50.97401,2026,2026-05-21,230.384780884
ADAMS,-119.64715,50.97401,2027,2027-06-21,234.03352356
ADAMS,-119.64715,50.97401,2028,2028-06-07,249.362030029
ADAMS,-119.64715,50.97401,2029,2029-05-22,157.062576294
ADAMS,-119.64715,50.97401,2030,2030-06-07,262.691802979
ADAMS,-119.64715,50.97401,2031,2031-05-22,238.212585449
ADAMS,-119.64715,50.97401,2032,2032-07-11,346.08807373
ADAMS,-119.64715,50.97401,2033,2033-06-11,219.41166687
ADAMS,-119.64715,50.97401,2034,2034-06-11,316.05255127
ADAMS,-119.64715,50.97401,2035,2035-06-30,238.74559021
ADAMS,-119.64715,50.97401,2036,2036-06-19,218.299194336
ADAMS,-119.64715,50.97401,2037,2037-05-25,347.508880615
ADAMS,-119.64715,50.97401,2038,2038-06-21,289.380767822
ADAMS,-119.64715,50.97401,2039,2039-06-25,324.515533447
ADAMS,-119.64715,50.97401,2040,2040-06-03,340.514953613
ADAMS,-119.64715,50.97401,2041,2041-06-16,239.246688843
ADAMS,-119.64715,50.97401,2042,2042-06-15,196.603286743
ADAMS,-119.64715,50.97401,2043,2043-07-02,245.481613159
ADAMS,-119.64715,50.97401,2044,2044-06-17,264.679046631
ADAMS,-119.64715,50.97401,2045,2045-06-24,270.410766602
ADAMS,-119.64715,50.97401,2046,2046-06-08,274.06463623
ADAMS,-119.64715,50.97401,2047,2047-06-08,239.615341187
ADAMS,-119.64715,50.97401,2048,2048-06-15,191.709411621
ADAMS,-119.64715,50.97401,2049,2049-07-01,240.168945312
ADAMS,-119.64715,50.97401,2050,2050-07-02,235.91494751
ADAMS,-119.64715,50.97401,2051,2051-06-20,261.531677246
ADAMS,-119.64715,50.97401,2052,2052-06-20,256.329986572
ADAMS,-119.64715,50.97401,2053,2053-06-04,225.918273926
ADAMS,-119.64715,50.97401,2054,2054-06-07,244.992507935
ADAMS,-119.64715,50.97401,2055,2055-06-04,362.570892334
ADAMS,-119.64715,50.97401,2056,2056-06-07,302.183898926
ADAMS,-119.64715,50.97401,2057,2057-06-14,346.973358154
ADAMS,-119.64715,50.97401,2058,2058-06-22,277.382873535
ADAMS,-119.64715,50.97401,2059,2059-06-13,272.961517334
ADAMS,-119.64715,50.97401,2060,2060-06-14,209.706695557
ADAMS,-119.64715,50.97401,2061,2061-06-30,333.398223877
ADAMS,-119.64715,50.97401,2062,2062-06-26,311.414367676
ADAMS,-119.64715,50.97401,2063,2063-06-18,291.509460449
ADAMS,-119.64715,50.97401,2064,2064-07-01,291.550109863
ADAMS,-119.64715,50.97401,2065,2065-06-27,254.064163208
ADAMS,-119.64715,50.97401,2066,2066-06-23,283.095062256
ADAMS,-119.64715,50.97401,2067,2067-05-22,188.834091187
ADAMS,-119.64715,50.97401,2068,2068-07-05,222.961975098
ADAMS,-119.64715,50.97401,2069,2069-06-10,228.758880615
ADAMS,-119.64715,50.97401,2070,2070-05-17,189.480300903
ADAMS,-119.64715,50.97401,2071,2071-06-04,207.918624878
ADAMS,-119.64715,50.97401,2072,2072-06-21,304.238586426
ADAMS,-119.64715,50.97401,2073,2073-05-21,227.119293213
ADAMS,-119.64715,50.97401,2074,2074-05-15,248.670562744
ADAMS,-119.64715,50.97401,2075,2075-06-22,236.937927246
ADAMS,-119.64715,50.97401,2076,2076-06-06,263.857696533
ADAMS,-119.64715,50.97401,2077,2077-05-26,230.373550415
ADAMS,-119.64715,50.97401,2078,2078-05-19,205.059738159
ADAMS,-119.64715,50.97401,2079,2079-07-05,296.323577881
ADAMS,-119.64715,50.97401,2080,2080-05-27,238.609542847
ADAMS,-119.64715,50.97401,2081,2081-05-16,191.843566895
ADAMS,-119.64715,50.97401,2082,2082-06-19,307.434204102
ADAMS,-119.64715,50.97401,2083,2083-06-12,242.179244995
ADAMS,-119.64715,50.97401,2084,2084-06-09,251.573455811
ADAMS,-119.64715,50.97401,2085,2085-06-12,195.989349365
ADAMS,-119.64715,50.97401,2086,2086-06-02,225.208236694
ADAMS,-119.64715,50.97401,2087,2087-06-20,237.309844971
ADAMS,-119.64715,50.97401,2088,2088-06-20,230.669067383
ADAMS,-119.64715,50.97401,2089,2089-05-27,279.007385254
ADAMS,-119.64715,50.97401,2090,2090-05-26,309.77746582
ADAMS,-119.64715,50.97401,2091,2091-06-13,228.872238159
ADAMS,-119.64715,50.97401,2092,2092-06-25,275.432312012
ADAMS,-119.64715,50.97401,2093,2093-05-30,275.253662109
ADAMS,-119.64715,50.97401,2094,2094-07-04,268.814666748
ADAMS,-119.64715,50.97401,2095,2095-07-02,212.713165283
ADAMS,-119.64715,50.97401,2096,2096-06-13,315.364440918
ADAMS,-119.64715,50.97401,2097,2097-06-08,212.978134155
ADAMS,-119.64715,50.97401,2098,2098-07-03,237.66708374
ADAMS,-119.64715,50.97401,2099,2099-06-02,190.399963379
ARNT7,-124.91269,57.2514,1945,1945-01-01,1014.54467773
ARNT7,-124.91269,57.2514,1946,1946-06-19,272.833374023
ARNT7,-124.91269,57.2514,1947,1947-06-28,299.26171875
ARNT7,-124.91269,57.2514,1948,1948-06-29,232.532089233
ARNT7,-124.91269,57.2514,1949,1949-06-21,366.124420166
ARNT7,-124.91269,57.2514,1950,1950-06-14,324.819152832
ARNT7,-124.91269,57.2514,1951,1951-06-01,206.053497314
ARNT7,-124.91269,57.2514,1952,1952-05-19,334.321807861
ARNT7,-124.91269,57.2514,1953,1953-06-03,342.992950439
ARNT7,-124.91269,57.2514,1954,1954-06-12,412.175567627
ARNT7,-124.91269,57.2514,1955,1955-06-26,251.31918335
ARNT7,-124.91269,57.2514,1956,1956-05-31,349.990783691
ARNT7,-124.91269,57.2514,1957,1957-06-03,314.851654053
ARNT7,-124.91269,57.2514,1958,1958-06-05,349.106628418
ARNT7,-124.91269,57.2514,1959,1959-05-27,242.330200195
ARNT7,-124.91269,57.2514,1960,1960-06-01,311.580657959
ARNT7,-124.91269,57.2514,1961,1961-05-11,256.701721191
ARNT7,-124.91269,57.2514,1962,1962-06-05,248.294662476
ARNT7,-124.91269,57.2514,1963,1963-06-23,325.006500244
ARNT7,-124.91269,57.2514,1964,1964-05-14,242.12878418
ARNT7,-124.91269,57.2514,1965,1965-05-09,241.985748291
