Station,Longitude,Latitude,Year,MaxDate,MaxFlow,Baseflow_Covariate
ADAMS,-119.64715,50.97401,1945,1945-06-04,174.376022339,0.9837628912905024
ADAMS,-119.64715,50.97401,1946,1946-06-01,252.23008728,1.7728798881742276
ADAMS,-119.64715,50.97401,1947,1947-06-03,227.27923584,1.261336006120675
ADAMS,-119.64715,50.97401,1948,1948-06-11,315.830322266,1.906251774971477
ADAMS,-119.64715,50.97401,1949,1949-05-22,246.609619141,1.5041412359310522
ADAMS,-119.64715,50.97401,1950,1950-06-23,299.587921143,1.3673495571646426
ADAMS,-119.64715,50.97401,1951,1951-05-16,231.071762085,1.686245158288835
ADAMS,-119.64715,50.97401,1952,1952-05-23,198.815155029,1.5691172833450966
ADAMS,-119.64715,50.97401,1953,1953-06-02,194.081359863,1.0191007416384916
ADAMS,-119.64715,50.97401,1954,1954-07-12,210.684234619,1.1097252288212378
ADAMS,-119.64715,50.97401,1955,1955-06-17,215.857711792,1.098895887585564
ADAMS,-119.64715,50.97401,1956,1956-05-26,291.782073975,2.0210997886024415
ADAMS,-119.64715,50.97401,1957,1957-06-09,241.059143066,1.5483135488660384
ADAMS,-119.64715,50.97401,1958,1958-05-31,322.410247803,1.8253166983680178
ADAMS,-119.64715,50.97401,1959,1959-07-22,226.463409424,1.1615920736868348
ADAMS,-119.64715,50.97401,1960,1960-07-18,195.394210815,0.7703108758820841
ADAMS,-119.64715,50.97401,1961,1961-06-09,262.581848145,1.4676634549266763
ADAMS,-119.64715,50.97401,1962,1962-06-24,216.876525879,1.3516755106393248
ADAMS,-119.64715,50.97401,1963,1963-06-02,231.375045776,1.3818836730335735
ADAMS,-119.64715,50.97401,1964,1964-07-19,250.883758545,1.0564334706351575
ADAMS,-119.64715,50.97401,1965,1965-06-15,238.800643921,1.8957074163998995
ADAMS,-119.64715,50.97401,1966,1966-07-11,195.245956421,1.1162798300954617
ADAMS,-119.64715,50.97401,1967,1967-06-29,286.058319092,1.4759279521854802
ADAMS,-119.64715,50.97401,1968,1968-07-14,283.550750732,1.2738752433409293
ADAMS,-119.64715,50.97401,1969,1969-06-16,270.56918335,1.3576601465853553
ADAMS,-119.64715,50.97401,1970,1970-06-10,199.785614014,1.2573462488233216
ADAMS,-119.64715,50.97401,1971,1971-06-09,222.244720459,2.167865860612235
ADAMS,-119.64715,50.97401,1972,1972-06-13,338.165008545,2.784283363053368
ADAMS,-119.64715,50.97401,1973,1973-06-30,201.445907593,1.0826518757320527
ADAMS,-119.64715,50.97401,1974,1974-06-24,333.144927979,2.3385704764061503
ADAMS,-119.64715,50.97401,1975,1975-07-14,279.415435791,1.4591139750037756
ADAMS,-119.64715,50.97401,1976,1976-07-13,194.74130249,1.2753001566614128
ADAMS,-119.64715,50.97401,1977,1977-06-14,145.452346802,0.9612492608268641
ADAMS,-119.64715,50.97401,1978,1978-06-12,262.459228516,1.9572636718447838
ADAMS,-119.64715,50.97401,1979,1979-07-04,173.266647339,0.9244864971583916
