Station,Longitude,Latitude,Year,MaxDate,MaxFlow,Baseflow_Covariate
ADAMS,-119.64715,50.97401,1945,1945-01-12,154.895629883,3.800345019954774
ADAMS,-119.64715,50.97401,1946,1946-07-14,283.892578125,1.533228143894424
ADAMS,-119.64715,50.97401,1947,1947-06-13,232.843566895,1.5416117363816335
ADAMS,-119.64715,50.97401,1948,1948-05-31,227.853286743,1.4268210084798436
ADAMS,-119.64715,50.97401,1949,1949-06-04,230.606765747,1.6122273807931278
ADAMS,-119.64715,50.97401,1950,1950-07-05,239.433013916,1.96175869833678
ADAMS,-119.64715,50.97401,1951,1951-06-18,284.215789795,1.7534586696161165
ADAMS,-119.64715,50.97401,1952,1952-05-27,253.895278931,1.2897815159004595
ADAMS,-119.64715,50.97401,1953,1953-06-12,335.993652344,1.9682076156346335
ADAMS,-119.64715,50.97401,1954,1954-06-04,271.624359131,1.7989235365659826
ADAMS,-119.64715,50.97401,1955,1955-06-09,259.016418457,2.083320789401316
ADAMS,-119.64715,50.97401,1956,1956-06-06,258.930450439,1.4716409836999245
ADAMS,-119.64715,50.97401,1957,1957-06-16,250.301193237,1.855996454651985
ADAMS,-119.64715,50.97401,1958,1958-06-15,327.143951416,2.002709323178149
ADAMS,-119.64715,50.97401,1959,1959-05-31,298.599456787,2.0194765081525676
ADAMS,-119.64715,50.97401,1960,1960-07-03,257.4581604,1.9485384178761807
ADAMS,-119.64715,50.97401,1961,1961-07-16,320.547973633,2.043337502154625
ADAMS,-119.64715,50.97401,1962,1962-05-31,189.765289307,1.437139276156409
ADAMS,-119.64715,50.97401,1963,1963-07-26,215.15953064,1.4938897483775184
ADAMS,-119.64715,50.97401,1964,1964-05-24,225.296585083,1.5599911506805155
ADAMS,-119.64715,50.97401,1965,1965-05-27,255.844192505,1.4493922190223303
ADAMS,-119.64715,50.97401,1966,1966-06-10,193.751235962,1.2714021016015775
ADAMS,-119.64715,50.97401,1967,1967-06-19,230.656265259,1.4668042957265344
ADAMS,-119.64715,50.97401,1968,1968-07-13,212.613967896,0.8180432155624859
ADAMS,-119.64715,50.97401,1969,1969-07-21,218.180236816,1.0295677029320762
ADAMS,-119.64715,50.97401,1970,1970-06-08,249.975036621,1.451649340076579
ADAMS,-119.64715,50.97401,1971,1971-07-17,223.713653564,1.7963439696468413
ADAMS,-119.64715,50.97401,1972,1972-07-20,245.472442627,1.23786773165274
ADAMS,-119.64715,50.97401,1973,1973-07-21,225.361816406,1.0943793217755027
ADAMS,-119.64715,50.97401,1974,1974-06-20,221.206436157,1.5429015198412042
ADAMS,-119.64715,50.97401,1975,1975-06-12,235.423294067,1.6754267703120906
ADAMS,-119.64715,50.97401,1976,1976-05-29,280.71585083,1.4326250340479116
ADAMS,-119.64715,50.97401,1977,1977-06-24,219.61555481,1.9785258833111987
ADAMS,-119.64715,50.97401,1978,1978-07-19,230.07208252,1.2546349166271586
ADAMS,-119.64715,50.97401,1979,1979-06-27,277.37020874,1.435204600967053
ADAMS,-119.64715,50.97401,1980,1980-07-14,217.850524902,0.8683447704857422
ADAMS,-119.64715,50.97401,1981,1981-06-23,321.89654541,2.103634878889554
ADAMS,-119.64715,50.97401,1982,1982-05-25,173.00769043,1.2017537947847612
ADAMS,-119.64715,50.97401,1983,1983-06-18,238.690979004,1.1685418707008164
ADAMS,-119.64715,50.97401,1984,1984-06-19,305.382110596,1.636088374795185
ADAMS,-119.64715,50.97401,1985,1985-06-12,296.638671875,2.137491694703284
ADAMS,-119.64715,50.97401,1986,1986-05-25,230.727355957,1.4377841678861942
ADAMS,-119.64715,50.97401,1987,1987-06-15,228.239517212,1.7802216764022079
ADAMS,-119.64715,50.97401,1988,1988-06-16,265.03237915,1.6189987439558737
ADAMS,-119.64715,50.97401,1989,1989-06-26,223.200149536,1.5412892905167408
ADAMS,-119.64715,50.97401,1990,1990-06-18,218.328948975,0.8999444652452238
ADAMS,-119.64715,50.97401,1991,1991-05-29,243.671173096,1.8934001749795344
ADAMS,-119.64715,50.97401,1992,1992-07-10,286.316772461,0.9866824029013515
ADAMS,-119.64715,50.97401,1993,1993-06-27,277.653778076,1.8372945944882102
ADAMS,-119.64715,50.97401,1994,1994-07-13,297.838653564,1.3420177460130718
ADAMS,-119.64715,50.97401,1995,1995-06-14,261.388092041,1.525489443137
ADAMS,-119.64715,50.97401,1996,1996-05-29,272.265228271,2.0227009668014944
ADAMS,-119.64715,50.97401,1997,1997-07-03,231.448028564,1.7882828230245247
ADAMS,-119.64715,50.97401,1998,1998-06-27,266.833984375,1.1982068902709417
ADAMS,-119.64715,50.97401,1999,1999-06-17,250.650268555,1.3781316828810506
ADAMS,-119.64715,50.97401,2000,2000-06-27,300.088867188,1.7953766320521634
ADAMS,-119.64715,50.97401,2001,2001-05-19,215.083023071,1.53032613111039
ADAMS,-119.64715,50.97401,2002,2002-06-03,260.014831543,1.4600329325637884
ADAMS,-119.64715,50.97401,2003,2003-06-15,225.794616699,1.2497982286537688
ADAMS,-119.64715,50.97401,2004,2004-05-30,254.803817749,1.5309710228401754
ADAMS,-119.64715,50.97401,2005,2005-06-04,245.841171265,1.7408832808853023
ADAMS,-119.64715,50.97401,2006,2006-06-23,236.567703247,1.3420177460130718
ADAMS,-119.64715,50.97401,2007,2007-05-25,233.861297607,1.811176479431904
ADAMS,-119.64715,50.97401,2008,2008-07-09,314.395568848,2.419631826484369
ADAMS,-119.64715,50.97401,2009,2009-06-14,297.036804199,1.3297648031471505
ADAMS,-119.64715,50.97401,2010,2010-05-28,246.024261475,1.5596687048156228
ADAMS,-119.64715,50.97401,2011,2011-06-11,235.626983643,1.2801081399536796
ADAMS,-119.64715,50.97401,2012,2012-07-05,267.790435791,1.7779645553479593
ADAMS,-119.64715,50.97401,2013,2013-06-17,276.650360107,1.7289527838842735
ADAMS,-119.64715,50.97401,2014,2014-06-18,369.133666992,2.157160892461737
ADAMS,-119.64715,50.97401,2015,2015-06-15,207.71206665,0.976364135224786
ADAMS,-119.64715,50.97401,2016,2016-06-01,254.736724854,1.5229098762178586
ADAMS,-119.64715,50.97401,2017,2017-06-17,283.02130127,2.1233040766480067
ADAMS,-119.64715,50.97401,2018,2018-06-17,269.638885498,1.7118631530449622
ADAMS,-119.64715,50.97401,2019,2019-07-15,241.664764404,1.024086123228901
ADAMS,-119.64715,50.97401,2020,2020-05-31,271.244598389,2.1378141405681768
ADAMS,-119.64715,50.97401,2021,2021-06-22,280.082122803,1.5899786161155336
ADAMS,-119.64715,50.97401,2022,2022-05-25,211.153320312,1.3578175933928125
ADAMS,-119.64715,50.97401,2023,2023-06-01,216.136657715,1.2046558075687952
ADAMS,-119.64715,50.97401,2024,2024-07-06,288.038299561,1.3858703836384747
ADAMS,-119.64715,50.97401,2025,2025-06-18,322.344482422,2.2912983722570868
ADAMS,-119.64715,50.97401,2026,2026-05-21,230.384780884,1.2694674264122214
ADAMS,-119.64715,50.97401,2027,2027-06-21,234.03352356,1.7176671786130302
ADAMS,-119.64715,50.97401,2028,2028-06-07,249.362030029,1.8369721486233175
ADAMS,-119.64715,50.97401,2029,2029-05-22,157.062576294,0.9186463254089985
ADAMS,-119.64715,50.97401,2030,2030-06-07,262.691802979,2.2345479000359774
ADAMS,-119.64715,50.97401,2031,2031-05-22,238.212585449,1.7395934974257317
ADAMS,-119.64715,50.97401,2032,2032-07-11,346.08807373,1.5690196348975103
ADAMS,-119.64715,50.97401,2033,2033-06-11,219.41166687,1.0360166202299297
ADAMS,-119.64715,50.97401,2034,2034-06-11,316.05255127,3.0087404216432736
ADAMS,-119.64715,50.97401,2035,2035-06-30,238.74559021,1.6335088078760438
ADAMS,-119.64715,50.97401,2036,2036-06-19,218.299194336,1.4793796844573484
ADAMS,-119.64715,50.97401,2037,2037-05-25,347.508880615,1.7460424147235851
ADAMS,-119.64715,50.97401,2038,2038-06-21,289.380767822,2.2119766894934907
ADAMS,-119.64715,50.97401,2039,2039-06-25,324.515533447,1.8543842253275216
ADAMS,-119.64715,50.97401,2040,2040-06-03,340.514953613,2.3093553406910763
ADAMS,-119.64715,50.97401,2041,2041-06-16,239.246688843,1.4384290596159797
ADAMS,-119.64715,50.97401,2042,2042-06-15,196.603286743,0.9489562367089093
ADAMS,-119.64715,50.97401,2043,2043-07-02,245.481613159,1.614806947712269
ADAMS,-119.64715,50.97401,2044,2044-06-17,264.679046631,2.000774647988793
ADAMS,-119.64715,50.97401,2045,2045-06-24,270.410766602,1.3333117076609697
ADAMS,-119.64715,50.97401,2046,2046-06-08,274.06463623,2.0826758976715305
ADAMS,-119.64715,50.97401,2047,2047-06-08,239.615341187,1.796666415511734
ADAMS,-119.64715,50.97401,2048,2048-06-15,191.709411621,0.8728590125942396
ADAMS,-119.64715,50.97401,2049,2049-07-01,240.168945312,1.4219843205064535
ADAMS,-119.64715,50.97401,2050,2050-07-02,235.91494751,1.1588684947540362
ADAMS,-119.64715,50.97401,2051,2051-06-20,261.531677246,1.6318965785515804
ADAMS,-119.64715,50.97401,2052,2052-06-20,256.329986572,1.5967499792782798
ADAMS,-119.64715,50.97401,2053,2053-06-04,225.918273926,1.2507655662484467
ADAMS,-119.64715,50.97401,2054,2054-06-07,244.992507935,1.5986846544676356
ADAMS,-119.64715,50.97401,2055,2055-06-04,362.570892334,2.98778144042525
ADAMS,-119.64715,50.97401,2056,2056-06-07,302.183898926,2.121369401458651
ADAMS,-119.64715,50.97401,2057,2057-06-14,346.973358154,1.9917461637717981
ADAMS,-119.64715,50.97401,2058,2058-06-22,277.382873535,1.3823234791246553
ADAMS,-119.64715,50.97401,2059,2059-06-13,272.961517334,1.6622064898514912
ADAMS,-119.64715,50.97401,2060,2060-06-14,209.706695557,0.9338012810589539
ADAMS,-119.64715,50.97401,2061,2061-06-30,333.398223877,1.3529809054194226
ADAMS,-119.64715,50.97401,2062,2062-06-26,311.414367676,1.4361719385617309
ADAMS,-119.64715,50.97401,2063,2063-06-18,291.509460449,1.7121855989098549
ADAMS,-119.64715,50.97401,2064,2064-07-01,291.550109863,1.6783287830961247
ADAMS,-119.64715,50.97401,2065,2065-06-27,254.064163208,1.3391157332290378
ADAMS,-119.64715,50.97401,2066,2066-06-23,283.095062256,1.868571843382799
ADAMS,-119.64715,50.97401,2067,2067-05-22,188.834091187,1.0766447992064059
ADAMS,-119.64715,50.97401,2068,2068-07-05,222.961975098,0.9144545291653938
ADAMS,-119.64715,50.97401,2069,2069-06-10,228.758880615,1.241737082031452
ADAMS,-119.64715,50.97401,2070,2070-05-17,189.480300903,1.2859121655217476
ADAMS,-119.64715,50.97401,2071,2071-06-04,207.918624878,1.6151293935771618
ADAMS,-119.64715,50.97401,2072,2072-06-21,304.238586426,2.1932748293297157
ADAMS,-119.64715,50.97401,2073,2073-05-21,227.119293213,1.1079220481009946
ADAMS,-119.64715,50.97401,2074,2074-05-15,248.670562744,1.8018255493500166
ADAMS,-119.64715,50.97401,2075,2075-06-22,236.937927246,1.078579474395762
ADAMS,-119.64715,50.97401,2076,2076-06-06,263.857696533,1.5154936213253274
ADAMS,-119.64715,50.97401,2077,2077-05-26,230.373550415,1.2607613880601194
ADAMS,-119.64715,50.97401,2078,2078-05-19,205.059738159,1.8698616268423696
ADAMS,-119.64715,50.97401,2079,2079-07-05,296.323577881,1.4136007280192442
ADAMS,-119.64715,50.97401,2080,2080-05-27,238.609542847,1.3229934399844043
ADAMS,-119.64715,50.97401,2081,2081-05-16,191.843566895,1.3336341535258625
ADAMS,-119.64715,50.97401,2082,2082-06-19,307.434204102,1.7605524786437552
ADAMS,-119.64715,50.97401,2083,2083-06-12,242.179244995,1.6979979808545775
ADAMS,-119.64715,50.97401,2084,2084-06-09,251.573455811,1.4306903588585556
ADAMS,-119.64715,50.97401,2085,2085-06-12,195.989349365,0.9670132051428987
ADAMS,-119.64715,50.97401,2086,2086-06-02,225.208236694,1.373939886637446
ADAMS,-119.64715,50.97401,2087,2087-06-20,237.309844971,1.8566413463817701
ADAMS,-119.64715,50.97401,2088,2088-06-20,230.669067383,0.9444419946004119
ADAMS,-119.64715,50.97401,2089,2089-05-27,279.007385254,1.5693420807624028
ADAMS,-119.64715,50.97401,2090,2090-05-26,309.77746582,1.666398286095096
ADAMS,-119.64715,50.97401,2091,2091-06-13,228.872238159,1.1059873729116387
ADAMS,-119.64715,50.97401,2092,2092-06-25,275.432312012,1.1540318067806463
ADAMS,-119.64715,50.97401,2093,2093-05-30,275.253662109,2.1977890714382133
ADAMS,-119.64715,50.97401,2094,2094-07-04,268.814666748,1.2198107632187505
ADAMS,-119.64715,50.97401,2095,2095-07-02,212.713165283,1.0002251292268436
ADAMS,-119.64715,50.97401,2096,2096-06-13,315.364440918,2.1336223443245723
ADAMS,-119.64715,50.97401,2097,2097-06-08,212.978134155,1.658659585337672
ADAMS,-119.64715,50.97401,2098,2098-07-03,237.66708374,1.236900394058062
ADAMS,-119.64715,50.97401,2099,2099-06-02,190.399963379,0.8344879546720121
ARNT7,-124.91269,57.2514,1945,1945-01-01,1014.54467773,107.67015392369487
ARNT7,-124.91269,57.2514,1946,1946-06-19,272.833374023,9.358021947244803
ARNT7,-124.91269,57.2514,1947,1947-06-28,299.26171875,8.547715488769528
ARNT7,-124.91269,57.2514,1948,1948-06-29,232.532089233,8.796643696466667
ARNT7,-124.91269,57.2514,1949,1949-06-21,366.124420166,13.70459220599797
ARNT7,-124.91269,57.2514,1950,1950-06-14,324.819152832,13.04938220853607
ARNT7,-124.91269,57.2514,1951,1951-06-01,206.053497314,8.0827485515943
ARNT7,-124.91269,57.2514,1952,1952-05-19,334.321807861,10.84997896410318
ARNT7,-124.91269,57.2514,1953,1953-06-03,342.992950439,10.24474807569964
ARNT7,-124.91269,57.2514,1954,1954-06-12,412.175567627,15.403237022252547
ARNT7,-124.91269,57.2514,1955,1955-06-26,251.31918335,10.461754142772406
ARNT7,-124.91269,57.2514,1956,1956-05-31,349.990783691,11.722195028637847
ARNT7,-124.91269,57.2514,1957,1957-06-03,314.851654053,9.572448447398427
ARNT7,-124.91269,57.2514,1958,1958-06-05,349.106628418,11.048928062741956
ARNT7,-124.91269,57.2514,1959,1959-05-27,242.330200195,10.357604128412074
ARNT7,-124.91269,57.2514,1960,1960-06-01,311.580657959,9.578574918831388
ARNT7,-124.91269,57.2514,1961,1961-05-11,256.701721191,7.504603115841746
ARNT7,-124.91269,57.2514,1962,1962-06-05,248.294662476,10.043864301871508
ARNT7,-124.91269,57.2514,1963,1963-06-23,325.006500244,11.257872983192405
ARNT7,-124.91269,57.2514,1964,1964-05-14,242.12878418,4.804763889095436
ARNT7,-124.91269,57.2514,1965,1965-05-09,241.985748291,7.336608820232666
ARNT7,-124.91269,57.2514,1966,1966-06-14,183.266464233,8.848235034849495
ARNT7,-124.91269,57.2514,1967,1967-07-01,258.567596436,9.8507192288008
ARNT7,-124.91269,57.2514,1968,1968-07-07,294.717254639,10.627168871462345
ARNT7,-124.91269,57.2514,1969,1969-06-13,237.007446289,8.549327718093991
ARNT7,-124.91269,57.2514,1970,1970-06-30,303.41696167,10.020003307869452
ARNT7,-124.91269,57.2514,1971,1971-06-26,262.828735352,7.996655505667958
ARNT7,-124.91269,57.2514,1972,1972-06-26,324.719116211,10.816122148289448
ARNT7,-124.91269,57.2514,1973,1973-06-19,250.610427856,9.945195867214352
ARNT7,-124.91269,57.2514,1974,1974-05-26,242.360046387,9.289018532157773
ARNT7,-124.91269,57.2514,1975,1975-05-29,303.478027344,7.708388902453914
ARNT7,-124.91269,57.2514,1976,1976-06-23,330.289123535,14.05863776565012
ARNT7,-124.91269,57.2514,1977,1977-06-26,347.917602539,13.485973909600741
ARNT7,-124.91269,57.2514,1978,1978-07-28,393.281707764,17.310181867227787
ARNT7,-124.91269,57.2514,1979,1979-06-19,296.535949707,10.799999855044815
ARNT7,-124.91269,57.2514,1980,1980-06-29,469.480285645,17.646815350175732
ARNT7,-124.91269,57.2514,1981,1981-06-14,443.872528076,14.099910836356381
