Station,Longitude,Latitude,Year,MaxDate,MaxFlow,Prep_Covariate
ADAMS,-119.64715,50.97401,1945,1945-01-12,154.895629883,0
ADAMS,-119.64715,50.97401,1946,1946-07-14,283.892578125,3.1959832023691246
ADAMS,-119.64715,50.97401,1947,1947-06-13,232.843566895,1.9891841780152861
ADAMS,-119.64715,50.97401,1948,1948-05-31,227.853286743,0.0015140938814039583
ADAMS,-119.64715,50.97401,1949,1949-06-04,230.606765747,0.0011355704110529686
ADAMS,-119.64715,50.97401,1950,1950-07-05,239.433013916,0.733923179131967
ADAMS,-119.64715,50.97401,1951,1951-06-18,284.215789795,0
ADAMS,-119.64715,50.97401,1952,1952-05-27,253.895278931,0
ADAMS,-119.64715,50.97401,1953,1953-06-12,335.993652344,0
ADAMS,-119.64715,50.97401,1954,1954-06-04,271.624359131,2.419466747177972
ADAMS,-119.64715,50.97401,1955,1955-06-09,259.016418457,8.66605152907195
ADAMS,-119.64715,50.97401,1956,1956-06-06,258.930450439,0.4779869891979076
ADAMS,-119.64715,50.97401,1957,1957-06-16,250.301193237,0
ADAMS,-119.64715,50.97401,1958,1958-06-15,327.143951416,0.18513691646081432
ADAMS,-119.64715,50.97401,1959,1959-05-31,298.599456787,2.5979784771248147
ADAMS,-119.64715,50.97401,1960,1960-07-03,257.4581604,1.0091681657014069
ADAMS,-119.64715,50.97401,1961,1961-07-16,320.547973633,0.8988051591096101
ADAMS,-119.64715,50.97401,1962,1962-05-31,189.765289307,2.1656132715719716
ADAMS,-119.64715,50.97401,1963,1963-07-26,215.15953064,0.6591489182578193
ADAMS,-119.64715,50.97401,1964,1964-05-24,225.296585083,3.540512756065086
ADAMS,-119.64715,50.97401,1965,1965-05-27,255.844192505,1.541106559612133
ADAMS,-119.64715,50.97401,1966,1966-06-10,193.751235962,6.495137064545243
ADAMS,-119.64715,50.97401,1967,1967-06-19,230.656265259,0
ADAMS,-119.64715,50.97401,1968,1968-07-13,212.613967896,0.5304236147138808
ADAMS,-119.64715,50.97401,1969,1969-07-21,218.180236816,0.5855104746641936
ADAMS,-119.64715,50.97401,1970,1970-06-08,249.975036621,2.0433244793503373
ADAMS,-119.64715,50.97401,1971,1971-07-17,223.713653564,0
ADAMS,-119.64715,50.97401,1972,1972-07-20,245.472442627,1.3251127589631964
ADAMS,-119.64715,50.97401,1973,1973-07-21,225.361816406,0.8179732163747152
ADAMS,-119.64715,50.97401,1974,1974-06-20,221.206436157,0.7064744057478728
ADAMS,-119.64715,50.97401,1975,1975-06-12,235.423294067,0
ADAMS,-119.64715,50.97401,1976,1976-05-29,280.71585083,0.7649686954639576
ADAMS,-119.64715,50.97401,1977,1977-06-24,219.61555481,2.4611131659260503
ADAMS,-119.64715,50.97401,1978,1978-07-19,230.07208252,0.33468543379395094
ADAMS,-119.64715,50.97401,1979,1979-06-27,277.37020874,0.3984801007641686
ADAMS,-119.64715,50.97401,1980,1980-07-14,217.850524902,0
ADAMS,-119.64715,50.97401,1981,1981-06-23,321.89654541,0
ADAMS,-119.64715,50.97401,1982,1982-05-25,173.00769043,0.440505047156303
ADAMS,-119.64715,50.97401,1983,1983-06-18,238.690979004,1.2579106114528797
ADAMS,-119.64715,50.97401,1984,1984-06-19,305.382110596,4.996812621752421
ADAMS,-119.64715,50.97401,1985,1985-06-12,296.638671875,0.5101683139801025
ADAMS,-119.64715,50.97401,1986,1986-05-25,230.727355957,3.4659277730517917
ADAMS,-119.64715,50.97401,1987,1987-06-15,228.239517212,0.8005574544270834
ADAMS,-119.64715,50.97401,1988,1988-06-16,265.03237915,1.0638762293038544
